	identifier	created	modified	size	species	nauthors	ecephys	ophys	icephys	numberOfSubjects	numberOfFiles	has_related_pub
173	000570	2023-06-29 20:25:43.159623+00:00	2023-07-05 17:42:52.656910+00:00	4628300559	Human	6	False	False	True	58.0	155	False
174	000572	2023-07-03 20:17:43.540225+00:00	2023-08-26 01:38:04.558797+00:00	311812040462	House mouse	1	True	False	False	37.0	289	False
175	000574	2023-07-04 13:52:07.557094+00:00	2023-08-08 01:35:29.088030+00:00	138887036866	Human	7	True	False	False	9.0	43	True
176	000575	2023-07-04 17:07:21.531429+00:00	2023-08-08 01:35:11.352671+00:00	50794717628	Human	6	True	False	False	12.0	17	False
177	000576	2023-07-04 17:10:34.084138+00:00	2023-08-08 01:35:27.595838+00:00	2191651090	Human	7	True	False	False	9.0	11	True
178	000579	2023-07-10 21:58:09.569708+00:00	2023-07-21 20:06:56.359828+00:00	245591965505	House mouse	3	False	True	False	8.0	308	False
179	000582	2023-07-17 08:18:23.034598+00:00	2023-07-19 12:59:15.137970+00:00	1863054410	Rat	9	True	False	False	14.0	115	True
180	000615	2023-07-25 18:21:02.715482+00:00	2023-07-25 18:21:02.715508+00:00	7461406960	Procambarus clarkii - Red swamp crayfish	1	False	False	False	1.0	1	False
181	000618	2023-08-04 13:32:03.181333+00:00	2023-08-04 13:32:03.181357+00:00	145522643652	House mouse	9	True	False	False	4.0	124	False
182	000623	2023-08-31 18:13:43.895059+00:00	2024-01-30 20:30:16.845094+00:00	27744749325	Human	11	True	False	False	16.0	29	False
183	000624	2023-09-01 00:18:09.594806+00:00	2023-09-12 17:52:25.576100+00:00	131866973888	Rat	7	True	False	False	10.0	45	False
184	000625	2023-09-06 16:30:08.447291+00:00	2023-11-14 00:13:09.621247+00:00	74904128	House mouse	2	False	True	False	1.0	3	False
185	000626	2023-09-06 20:33:29.251788+00:00	2023-09-06 20:33:29.251804+00:00	18295752	Rhesus monkey	1	False	False	False	1.0	1	False
186	000628	2023-09-09 01:39:26.115969+00:00	2023-09-09 01:39:26.115992+00:00	52741296155	Rhesus monkey	4	False	False	False	13.0	2037	False
187	000629	2023-09-10 19:49:56.118436+00:00	2023-09-10 19:49:56.118454+00:00	16808409955494	Rat	5	True	False	False	4.0	114	False
188	000630	2023-09-13 20:50:35.329036+00:00	2023-09-13 20:57:50.067334+00:00	8073127848	Human	5	False	False	True	53.0	210	False
189	000631	2023-09-14 18:38:55.144430+00:00	2023-09-14 18:38:55.144454+00:00	18379955860	Cattle	4	False	False	False	15.0	15	False
190	000632	2023-09-14 19:01:32.791752+00:00	2023-09-14 19:01:32.791774+00:00	42744120707	Cattle	4	False	False	False	24.0	24	False
191	000633	2023-09-14 19:09:10.314783+00:00	2023-09-14 19:09:10.314806+00:00	2137420087	Cattle	4	False	False	False	2.0	2	False
192	000634	2023-09-14 19:16:36.468068+00:00	2023-09-14 19:16:36.468093+00:00	1035526841	Chinese hamster	4	False	False	False	10.0	10	False
193	000635	2023-09-15 20:41:36.876957+00:00	2023-09-19 16:59:41.767893+00:00	4707135438	Macaca nemestrina	5	False	False	True	8.0	81	False
